Pesoh,Cinturah,,,,
38.7,72.3,,,,
81.7,93,,,,
26.2,55.6,,,,
39.1,62.55,,,,
63,84.15,,,,
28.8,57.2,,,,
31.65,58,,,,
74.3,90.6,,,,
91.05,107.3,,,,
47.445,65.15,,,,
67.8,96.05,,,,
67.3,97.5,,,,
127.75,129.4,,,,
78.04,93.65,,,,
66.9,79.1,,,,
61.15,84.95,,,,
66.65,79.5,,,,
55.5,78.55,,,,
31.85,59.4,,,,
38.85,64.1,,,,
84.3,87.15,,,,
38,67,,,,
67.55,81.75,,,,
57.8,75,,,,
29.475,57,,,,
39.95,62.8,,,,
59.75,82.15,,,,
58.45,75.55,,,,
63,78.6,,,,
29.825,60.85,,,,
33.75,57.5,,,,
64.95,73,,,,
58.05,76.95,,,,
55.3,74.3,,,,
62.05,97.7,,,,
26.525,53.55,,,,
43.2,77,,,,
79.45,96.6,,,,
49.925,70.1,,,,
46.2,82.5,,,,
56.5,77.5,,,,
54.675,79.1,,,,
46.6,68.65,,,,
39.6,63.9,,,,
76.4,95,,,,
48.2,81.5,,,,
55.6,73,,,,
59.2,73.6,,,,
39.325,72,,,,
36.325,60,,,,
49.25,72.6,,,,
45.1,65.3,,,,
55.55,73.6,,,,
63.7,88.05,,,,
69.55,94.7,,,,
34.15,60.4,,,,
47.75,67.05,,,,
53.2,70.85,,,,
46.1,80,,,,
41.725,70.7,,,,
70.55,91.2,,,,
40.525,65.3,,,,
86.55,100.6,,,,
28.325,56.2,,,,
31.75,65.3,,,,
23.575,52.5,,,,
48.075,67.3,,,,
60.9,89.15,,,,
44.8,69.4,,,,
58.55,76.3,,,,
44.175,67.5,,,,
62.75,80.6,,,,
61.3,88.8,,,,
56.9,84.1,,,,
53.5,70.85,,,,
54.1,70,,,,
59,71.6,,,,
62.1,85.4,,,,
85,99.7,,,,
42.05,63.2,,,,
54.4,68,,,,
84.65,100.5,,,,
40.15,68,,,,
65.6,80.6,,,,
58.1,76,,,,
42.65,66.2,,,,
58.15,72.3,,,,
72.9,100,,,,
40.5,75,,,,
23.9,53,,,,
