Pesom,Cinturam,,,,
56.1,71.7,,,,
57.15,83.5,,,,
47.2,64.05,,,,
48.5,74.2,,,,
77.4,,,,,
52.15,,,,,
54.8,75.5,,,,
49.4,73.1,,,,
52.7,74.9,,,,
75.2,,,,,
88.3,111.2,,,,
51.75,70.5,,,,
52.4,79,,,,
77.05,102.2,,,,
71.4,99,,,,
63.1,101.9,,,,
47.7,78.6,,,,
50.4,74.5,,,,
86.5,106.7,,,,
59.6,,,,,
49.225,75.2,,,,
72,99.2,,,,
51.9,79.1,,,,
61,90.45,,,,
58.25,80.9,,,,
70.5,92.6,,,,
51.15,,,,,
53.25,70,,,,
56.95,73,,,,
61.85,83.5,,,,
72.2,91.6,,,,
65.4,87.6,,,,
64.05,91.1,,,,
52.65,75.6,,,,
33.75,60,,,,
81.1,,,,,
50.4,81,,,,
60.8,81,,,,
45.625,73,,,,
46.125,76.9,,,,
70.9,,,,,
56.1,83,,,,
64.55,,,,,
57.9,80,,,,
38.85,65,,,,
64.55,90.5,,,,
58.55,82.2,,,,
55.5,78.7,,,,
30.325,63.5,,,,
36.775,63.2,,,,
56.8,78.5,,,,
45,63.5,,,,
47.75,69.5,,,,
50.6,76.5,,,,
56.45,72,,,,
51.85,85,,,,
38.275,67.5,,,,
56.15,75.4,,,,
37.7,93.45,,,,
57.8,80.5,,,,
57.3,,,,,
48.8,68.1,,,,
36.05,60.75,,,,
60,78.1,,,,
60.8,87.4,,,,
86.3,91.15,,,,
87.1,,,,,
44.65,73.5,,,,
91.7,98,,,,
64,101.3,,,,
55.9,74.5,,,,
58.75,82.25,,,,
60.8,80.05,,,,
79.65,,,,,
69.55,85.55,,,,
31.9,62.65,,,,
57,78,,,,
45.4,71.15,,,,
61.25,80.6,,,,
69.6,91.2,,,,
83.7,93.9,,,,
69.85,101.9,,,,
51,69.75,,,,
34.875,60.1,,,,
51.415,75.8,,,,
68.2,85.3,,,,
76.25,91.3,,,,
76.65,103.5,,,,
70.8,100.45,,,,
60.5,82.25,,,,
66.7,77.3,,,,
55.1,76,,,,
35.55,66.5,,,,
68.6,91.4,,,,
38.375,66.6,,,,
36.7,64,,,,
59.2,97.1,,,,
59.4,81,,,,
42.25,71.3,,,,
60.9,82.95,,,,
71.1,,,,,
76.5,101.55,,,,
67.5,98.1,,,,
51.1,,,,,
54.6,82.45,,,,
54,76.45,,,,
34,62.1,,,,
50.6,75.75,,,,
32.075,60.6,,,,
42.575,60.1,,,,
86.9,122.1,,,,
57,80.4,,,,
49.45,,,,,
63.5,,,,,
73,105.25,,,,
40.8,69.75,,,,
59.4,92,,,,
56.5,,,,,
74.55,98.3,,,,
